id_tabela,nome_coluna,chave,cobertura_temporal,valor
microdados_vinculos,bairros_rj,530,1996(1),E RAINHA
microdados_vinculos,bairros_rj,640,1996(1),GLORIA
microdados_vinculos,bairros_rj,210,1996(1),C DEUS
microdados_vinculos,bairros_rj,320,1996(1),CAMPINHO
microdados_vinculos,bairros_rj,630,1996(1),GAVEA
microdados_vinculos,bairros_rj,780,1996(1),ITANHANGA
microdados_vinculos,bairros_rj,1070,1996(1),O CRUZ
microdados_vinculos,bairros_rj,1080,1996(1),OITICICA II
microdados_vinculos,bairros_rj,1390,1996(1),ROCINHA
microdados_vinculos,bairros_rj,1680,1996(1),VIDIGAL
microdados_vinculos,bairros_rj,190,1996(1),BOTAFOGO
microdados_vinculos,bairros_rj,740,1996(1),INHOAIBA
microdados_vinculos,bairros_rj,1270,1996(1),PRQ ANCHIET
microdados_vinculos,bairros_rj,1350,1996(1),REALENGO
microdados_vinculos,bairros_rj,1500,1996(1),SANTISSIMO
microdados_vinculos,bairros_rj,30,1996(1),ABOLICAO
microdados_vinculos,bairros_rj,480,1996(1),DEODORO
microdados_vinculos,bairros_rj,1280,1996(1),Q BOCAIUVA
microdados_vinculos,bairros_rj,1720,1996(1),VL MILITAR
microdados_vinculos,bairros_rj,0,1996(1),FORA DO RIO
microdados_vinculos,bairros_rj,90,1996(1),B FILHO
microdados_vinculos,bairros_rj,240,1996(1),C NOVA
microdados_vinculos,bairros_rj,410,1996(1),CORDOVIL
microdados_vinculos,bairros_rj,1320,1996(1),R PRATA
microdados_vinculos,bairros_rj,1450,1996(1),S F XAVIER
microdados_vinculos,bairros_rj,1190,1996(1),PDA LUCAS
microdados_vinculos,bairros_rj,130,1996(1),B RIBEIRO
microdados_vinculos,bairros_rj,750,1996(1),IPANEMA
microdados_vinculos,bairros_rj,1050,1996(1),MONERO
microdados_vinculos,bairros_rj,1140,1996(1),PACIENCIA
microdados_vinculos,bairros_rj,1600,1996(1),TURIACU
microdados_vinculos,bairros_rj,800,1996(1),JACARE
microdados_vinculos,bairros_rj,950,1996(1),LOT S BENED
microdados_vinculos,bairros_rj,1010,1996(1),MANGUINHOS
microdados_vinculos,bairros_rj,120,1996(1),B PINA
microdados_vinculos,bairros_rj,420,1996(1),COSMOS
microdados_vinculos,bairros_rj,730,1996(1),INHAUMA
microdados_vinculos,bairros_rj,1550,1996(1),TANQUE
microdados_vinculos,bairros_rj,1660,1996(1),V LOBO
microdados_vinculos,bairros_rj,510,1996(1),E LEAL
microdados_vinculos,bairros_rj,770,1996(1),ITACOLOMI
microdados_vinculos,bairros_rj,610,1996(1),GALEAO
microdados_vinculos,bairros_rj,710,1996(1),HIGIENOPOLI
microdados_vinculos,bairros_rj,920,1996(1),LEBLON
microdados_vinculos,bairros_rj,970,1996(1),M GRACA
microdados_vinculos,bairros_rj,1340,1996(1),RCR BANDEIR
microdados_vinculos,bairros_rj,1630,1996(1),V CARVALHO
microdados_vinculos,bairros_rj,1670,1996(1),V PEQUENA
microdados_vinculos,bairros_rj,110,1996(1),B GUARATIBA
microdados_vinculos,bairros_rj,1420,1996(1),S CRISTO
microdados_vinculos,bairros_rj,1750,1996(1),ZUMBI
microdados_vinculos,bairros_rj,60,1996(1),ANDARAI
microdados_vinculos,bairros_rj,150,1996(1),BANCARIOS
microdados_vinculos,bairros_rj,230,1996(1),C NETO
microdados_vinculos,bairros_rj,260,1996(1),C VELHO
microdados_vinculos,bairros_rj,1000,1996(1),MANGUEIRA
microdados_vinculos,bairros_rj,1180,1996(1),PC SECA
microdados_vinculos,bairros_rj,140,1996(1),B TIJUCA
microdados_vinculos,bairros_rj,330,1996(1),CASCADURA
microdados_vinculos,bairros_rj,660,1996(1),GRUMARI
microdados_vinculos,bairros_rj,1400,1996(1),S CAMARA
microdados_vinculos,bairros_rj,1440,1996(1),S CRUZ
microdados_vinculos,bairros_rj,620,1996(1),GAMBOA
microdados_vinculos,bairros_rj,820,1996(1),JD AMERICA
microdados_vinculos,bairros_rj,940,1996(1),LOT MADEAN
microdados_vinculos,bairros_rj,1120,1996(1),P MIGUEL
microdados_vinculos,bairros_rj,1240,1996(1),PITANGUEIRA
microdados_vinculos,bairros_rj,1360,1996(1),RIACHUELO
microdados_vinculos,bairros_rj,1480,1996(1),S VASCONCEL
microdados_vinculos,bairros_rj,310,1996(1),CAMORIM
microdados_vinculos,bairros_rj,980,1996(1),M HERMES
microdados_vinculos,bairros_rj,490,1996(1),DUMAS
microdados_vinculos,bairros_rj,760,1996(1),IRAJA
microdados_vinculos,bairros_rj,1160,1996(1),PAVUNA
microdados_vinculos,bairros_rj,1330,1996(1),RAMOS
microdados_vinculos,bairros_rj,1640,1996(1),V GERAL
microdados_vinculos,bairros_rj,830,1996(1),JD BOTANICO
microdados_vinculos,bairros_rj,1230,1996(1),PILARES
microdados_vinculos,bairros_rj,10,1996(1),A COSMOS
microdados_vinculos,bairros_rj,300,1996(1),CAJU
microdados_vinculos,bairros_rj,790,1996(1),IZADORA
microdados_vinculos,bairros_rj,360,1996(1),CAVALCANTI
microdados_vinculos,bairros_rj,550,1996(1),ESTACIO
microdados_vinculos,bairros_rj,1540,1996(1),T SANTOS
microdados_vinculos,bairros_rj,1560,1996(1),TAQUARA
microdados_vinculos,bairros_rj,20,1996(1),A SANTA
microdados_vinculos,bairros_rj,520,1996(1),E NOVO
microdados_vinculos,bairros_rj,1310,1996(1),R MIRANDA
microdados_vinculos,bairros_rj,1370,1996(1),RIBEIRA
microdados_vinculos,bairros_rj,200,1996(1),C BARROS
microdados_vinculos,bairros_rj,570,1996(1),FREGUESIA
microdados_vinculos,bairros_rj,850,1996(1),JD GUANABAR
microdados_vinculos,bairros_rj,1150,1996(1),PAQUETA
microdados_vinculos,bairros_rj,1170,1996(1),PC BANDEIRA
microdados_estabelecimentos,bairros_rj,34,1999(1)2000,Catumbi
microdados_estabelecimentos,bairros_rj,37,1999(1)2000,Cocotá
microdados_estabelecimentos,bairros_rj,78,1999(1)2000,Izadora
microdados_estabelecimentos,bairros_rj,98,1999(1)2000,Maria da Graça
microdados_estabelecimentos,bairros_rj,7,1999(1)2000,Alto da Boa Vista
microdados_estabelecimentos,bairros_rj,11,1999(1)2000,Brás de Pina
microdados_estabelecimentos,bairros_rj,65,1999(1)2000,Guadalupe
microdados_estabelecimentos,bairros_rj,151,1999(1)2000,Santíssimo
microdados_estabelecimentos,bairros_rj,48,1999(1)2000,Dumas
microdados_estabelecimentos,bairros_rj,102,1999(1)2000,Manguinhos
microdados_estabelecimentos,bairros_rj,107,1999(1)2000,Oswaldo Cruz
microdados_estabelecimentos,bairros_rj,58,1999(1)2000,Gardênia Azul
microdados_estabelecimentos,bairros_rj,59,1999(1)2000,Galeao
microdados_estabelecimentos,bairros_rj,121,1999(1)2000,Pechincha
microdados_estabelecimentos,bairros_rj,108,1999(1)2000,Oiticica II
microdados_estabelecimentos,bairros_rj,128,1999(1)2000,Parque Anchieta
microdados_estabelecimentos,bairros_rj,55,1999(1)2000,Flamengo
microdados_estabelecimentos,bairros_rj,100,1999(1)2000,Madureira
microdados_estabelecimentos,bairros_rj,112,1999(1)2000,Pedra de Guaratiba
microdados_estabelecimentos,bairros_rj,84,1999(1)2000,Jardim Guanabara
microdados_estabelecimentos,bairros_rj,119,1999(1)2000,Praça Seca
microdados_estabelecimentos,bairros_rj,139,1999(1)2000,Rocha
microdados_estabelecimentos,bairros_rj,-1,1999(1)2000,Ignorado
microdados_estabelecimentos,bairros_rj,91,1999(1)2000,Lagoa
microdados_estabelecimentos,bairros_rj,143,1999(1)2000,Santo Cristo
microdados_estabelecimentos,bairros_rj,41,1999(1)2000,Cosmos
microdados_estabelecimentos,bairros_rj,45,1999(1)2000,Del Castilho
microdados_estabelecimentos,bairros_rj,62,1999(1)2000,Glória
microdados_estabelecimentos,bairros_rj,162,1999(1)2000,Tubiacanga
microdados_estabelecimentos,bairros_rj,64,1999(1)2000,Grumari
microdados_estabelecimentos,bairros_rj,75,1999(1)2000,Irajá
microdados_estabelecimentos,bairros_rj,88,1999(1)2000,Jardim Sulacap
microdados_estabelecimentos,bairros_rj,124,1999(1)2000,Pilares
microdados_estabelecimentos,bairros_rj,146,1999(1)2000,Sao Francisco Xavier
microdados_estabelecimentos,bairros_rj,29,1999(1)2000,Caju
microdados_estabelecimentos,bairros_rj,31,1999(1)2000,Campinho
microdados_estabelecimentos,bairros_rj,83,1999(1)2000,Jardim Carioca
microdados_estabelecimentos,bairros_rj,49,1999(1)2000,Engenho de Dentro
microdados_estabelecimentos,bairros_rj,141,1999(1)2000,Senador Camará
microdados_estabelecimentos,bairros_rj,149,1999(1)2000,Senador Vasconcelos
microdados_estabelecimentos,bairros_rj,52,1999(1)2000,Engenho da Rainha
microdados_estabelecimentos,bairros_rj,73,1999(1)2000,Inhoaíba
microdados_estabelecimentos,bairros_rj,125,1999(1)2000,Pitangueiras
microdados_estabelecimentos,bairros_rj,2,1999(1)2000,Aboliçao
microdados_estabelecimentos,bairros_rj,26,1999(1)2000,Cachambi
microdados_estabelecimentos,bairros_rj,170,1999(1)2000,Vargem Pequena
microdados_estabelecimentos,bairros_rj,36,1999(1)2000,Centro
microdados_estabelecimentos,bairros_rj,43,1999(1)2000,Campo Grande
microdados_estabelecimentos,bairros_rj,169,1999(1)2000,Vaz Lobo
microdados_estabelecimentos,bairros_rj,35,1999(1)2000,Cavalcanti
microdados_estabelecimentos,bairros_rj,50,1999(1)2000,Engenheiro Leal
microdados_estabelecimentos,bairros_rj,51,1999(1)2000,Engenho Novo
microdados_estabelecimentos,bairros_rj,96,1999(1)2000,Loteamento Sao Benedito
microdados_estabelecimentos,bairros_rj,153,1999(1)2000,Sepetiba
microdados_estabelecimentos,bairros_rj,156,1999(1)2000,Tanque
microdados_estabelecimentos,bairros_rj,9,1999(1)2000,B Guanabara
microdados_estabelecimentos,bairros_rj,25,1999(1)2000,Cosme Velho
microdados_estabelecimentos,bairros_rj,61,1999(1)2000,Gávea
microdados_estabelecimentos,bairros_rj,66,1999(1)2000,Guarabu
microdados_estabelecimentos,bairros_rj,129,1999(1)2000,Quintino Bocaiúva
microdados_estabelecimentos,bairros_rj,142,1999(1)2000,Sao Conrado
microdados_estabelecimentos,bairros_rj,145,1999(1)2000,Santa Cruz
microdados_estabelecimentos,bairros_rj,157,1999(1)2000,Taquara
microdados_estabelecimentos,bairros_rj,21,1999(1)2000,C Falso
microdados_estabelecimentos,bairros_rj,79,1999(1)2000,Jacaré
microdados_estabelecimentos,bairros_rj,117,1999(1)2000,Pavuna
microdados_estabelecimentos,bairros_rj,155,1999(1)2000,Todos os Santos
microdados_estabelecimentos,bairros_rj,13,1999(1)2000,Barra da Tijuca
microdados_estabelecimentos,bairros_rj,67,1999(1)2000,Guaratiba
microdados_estabelecimentos,bairros_rj,92,1999(1)2000,Laranjeiras
microdados_estabelecimentos,bairros_rj,97,1999(1)2000,Magalhaes Bastos
microdados_estabelecimentos,bairros_rj,40,1999(1)2000,Cordovil
microdados_estabelecimentos,bairros_rj,44,1999(1)2000,Curicica
microdados_estabelecimentos,bairros_rj,104,1999(1)2000,Méier
microdados_estabelecimentos,bairros_rj,132,1999(1)2000,Rocha Miranda
microdados_estabelecimentos,bairros_rj,150,1999(1)2000,Sampaio
microdados_estabelecimentos,bairros_rj,159,1999(1)2000,Tijuca
microdados_estabelecimentos,bairros_rj,15,1999(1)2000,Bangu
microdados_estabelecimentos,bairros_rj,20,1999(1)2000,Cidade de Deus
microdados_estabelecimentos,bairros_rj,57,1999(1)2000,Freguesia
microdados_estabelecimentos,bairros_rj,101,1999(1)2000,Mangueira
microdados_estabelecimentos,bairros_rj,109,1999(1)2000,Olaria
microdados_estabelecimentos,bairros_rj,134,1999(1)2000,Ramos
microdados_estabelecimentos,bairros_rj,174,1999(1)2000,Código não encontrado nos dicionários oficiais.
microdados_estabelecimentos,bairros_rj,56,1999(1)2000,Fora Rio
microdados_estabelecimentos,bairros_rj,144,1999(1)2000,Sao Cristóvao
microdados_estabelecimentos,bairros_rj,152,1999(1)2000,Saúde
microdados_estabelecimentos,bairros_rj,28,1999(1)2000,Cacuia
microdados_estabelecimentos,bairros_rj,105,1999(1)2000,Moneró
microdados_estabelecimentos,bairros_rj,165,1999(1)2000,Vista Alegre
microdados_estabelecimentos,bairros_rj,32,1999(1)2000,Cascadura
microdados_estabelecimentos,bairros_rj,70,1999(1)2000,Humaitá
microdados_estabelecimentos,bairros_rj,131,1999(1)2000,Rio Comprido
microdados_estabelecimentos,bairros_rj,17,1999(1)2000,Bonsucesso
microdados_estabelecimentos,bairros_rj,22,1999(1)2000,Coelho Neto
microdados_estabelecimentos,bairros_rj,60,1999(1)2000,Gamboa
microdados_estabelecimentos,bairros_rj,115,1999(1)2000,Paciência
microdados_estabelecimentos,bairros_rj,5,1999(1)2000,Andaraí
microdados_estabelecimentos,bairros_rj,113,1999(1)2000,Padre Miguel
microdados_estabelecimentos,bairros_rj,18,1999(1)2000,Botafogo
microdados_estabelecimentos,bairros_rj,63,1999(1)2000,Grajaú
microdados_estabelecimentos,bairros_rj,68,1999(1)2000,Honório Gurgel
microdados_estabelecimentos,bairros_rj,76,1999(1)2000,Itacolomi
microdados_estabelecimentos,bairros_rj,135,1999(1)2000,Recreio dos Bandeirantes
microdados_estabelecimentos,bairros_rj,24,1999(1)2000,Cidade Universitária
microdados_estabelecimentos,bairros_rj,95,1999(1)2000,Loetamento Madean
microdados_estabelecimentos,bairros_rj,158,1999(1)2000,Tauá
microdados_estabelecimentos,bairros_rj,167,1999(1)2000,Vigário Geral
microdados_estabelecimentos,bairros_rj,0,1999(1)2000,A Cosmos
microdados_estabelecimentos,bairros_rj,4,1999(1)2000,Anchieta
microdados_estabelecimentos,bairros_rj,19,1999(1)2000,Costa Barros
microdados_estabelecimentos,bairros_rj,94,1999(1)2000,Leme
microdados_estabelecimentos,bairros_rj,110,1999(1)2000,Outros Municipios do Estado do Rio de Janeiro
microdados_estabelecimentos,bairros_rj,177,1999(1)2000,Vila da Penha
microdados_estabelecimentos,bairros_rj,12,1999(1)2000,Bento Ribeiro
microdados_estabelecimentos,bairros_rj,16,1999(1)2000,Benfica
microdados_estabelecimentos,bairros_rj,89,1999(1)2000,Joá
microdados_estabelecimentos,bairros_rj,116,1999(1)2000,Paquetá
microdados_estabelecimentos,bairros_rj,154,1999(1)2000,Tomás Coelho
microdados_estabelecimentos,bairros_rj,176,1999(1)2000,Vila Militar
microdados_estabelecimentos,bairros_rj,130,1999(1)2000,Ricardo de Albuquerque
microdados_estabelecimentos,bairros_rj,3,1999(1)2000,Acari
microdados_estabelecimentos,bairros_rj,23,1999(1)2000,Cidade Nova
microdados_estabelecimentos,bairros_rj,39,1999(1)2000,Copacabana
microdados_estabelecimentos,bairros_rj,127,1999(1)2000,Praça da Bandeira
microdados_estabelecimentos,bairros_rj,14,1999(1)2000,Bancários
microdados_estabelecimentos,bairros_rj,38,1999(1)2000,Colégio
microdados_estabelecimentos,bairros_rj,53,1999(1)2000,Encantado
microdados_estabelecimentos,bairros_rj,136,1999(1)2000,Realengo
microdados_estabelecimentos,bairros_rj,33,1999(1)2000,Catete
microdados_estabelecimentos,bairros_rj,47,1999(1)2000,Deodoro
microdados_estabelecimentos,bairros_rj,82,1999(1)2000,Jardim Botânico
microdados_estabelecimentos,bairros_rj,106,1999(1)2000,Nossa Senhora das Graças
microdados_estabelecimentos,bairros_rj,168,1999(1)2000,Vargem Grande
microdados_estabelecimentos,bairros_rj,171,1999(1)2000,Vidigal
microdados_estabelecimentos,bairros_rj,148,1999(1)2000,Santa Teresa
microdados_estabelecimentos,bairros_rj,164,1999(1)2000,Urca
microdados_estabelecimentos,bairros_rj,1,1999(1)2000,Agua Santa
microdados_estabelecimentos,bairros_rj,166,1999(1)2000,Vicente de Carvalho
microdados_estabelecimentos,bairros_rj,10,1999(1)2000,Barra de Guarativa
microdados_estabelecimentos,bairros_rj,77,1999(1)2000,Itanhangá
microdados_estabelecimentos,bairros_rj,93,1999(1)2000,Leblon
microdados_estabelecimentos,bairros_rj,103,1999(1)2000,Maracana
microdados_estabelecimentos,bairros_rj,178,1999(1)2000,Vila Valqueire
microdados_estabelecimentos,bairros_rj,72,1999(1)2000,Inhaúma
microdados_estabelecimentos,bairros_rj,80,1999(1)2000,Jacarepaguá
microdados_estabelecimentos,bairros_rj,120,1999(1)2000,Parada de Lucas
microdados_estabelecimentos,bairros_rj,122,1999(1)2000,Penha
microdados_estabelecimentos,bairros_rj,74,1999(1)2000,Ipanema
microdados_estabelecimentos,bairros_rj,81,1999(1)2000,Jardim América
microdados_estabelecimentos,bairros_rj,90,1999(1)2000,Lins de Vasconcelos
microdados_estabelecimentos,bairros_rj,111,1999(1)2000,Penha Circular
microdados_estabelecimentos,bairros_rj,8,1999(1)2000,Barros Filho
microdados_estabelecimentos,bairros_rj,69,1999(1)2000,Higienópolis
microdados_estabelecimentos,bairros_rj,147,1999(1)2000,Sao Jerônimo
microdados_estabelecimentos,bairros_rj,180,1999(1)2000,Zumbi
microdados_estabelecimentos,bairros_rj,6,1999(1)2000,Anil
microdados_estabelecimentos,bairros_rj,163,1999(1)2000,Turiaçu
microdados_estabelecimentos,bairros_rj,NA,1999(1)2000,Código não encontrado nos dicionários oficiais.
microdados_estabelecimentos,bairros_rj,118,1999(1)2000,Praça da Bandeira
microdados_estabelecimentos,bairros_rj,126,1999(1)2000,Portuguesa
microdados_estabelecimentos,bairros_rj,137,1999(1)2000,Riachuelo
microdados_estabelecimentos,bairros_rj,138,1999(1)2000,Ribeira
microdados_estabelecimentos,bairros_rj,173,1999(1)2000,Vila Isabel
microdados_estabelecimentos,bairros_rj,175,1999(1)2000,Vila Kosmos
microdados_estabelecimentos,bairros_rj,30,1999(1)2000,Camorim
microdados_estabelecimentos,bairros_rj,42,1999(1)2000,Campo dos Afonsos
microdados_estabelecimentos,bairros_rj,54,1999(1)2000,Estácio
microdados_estabelecimentos,bairros_rj,99,1999(1)2000,Marechal Hermes
microdados_estabelecimentos,bairros_rj,123,1999(1)2000,Piedade
microdados_estabelecimentos,bairros_rj,1330,"1996(1)1998, 2001(1)",Ramos
microdados_estabelecimentos,bairros_rj,610,"1996(1)1998, 2001(1)",Galeao
microdados_estabelecimentos,bairros_rj,800,"1996(1)1998, 2001(1)",Jacare
microdados_estabelecimentos,bairros_rj,970,"1996(1)1998, 2001(1)",Maria da Graca
microdados_estabelecimentos,bairros_rj,1110,"1996(1)1998, 2001(1)",Pedra de Guaratiba
microdados_estabelecimentos,bairros_rj,-1,"1996(1)1998, 2001(1)",Ignorado
microdados_estabelecimentos,bairros_rj,390,"1996(1)1998, 2001(1)",Colegio
microdados_estabelecimentos,bairros_rj,660,"1996(1)1998, 2001(1)",Grumari
microdados_estabelecimentos,bairros_rj,1440,"1996(1)1998, 2001(1)",Santa Cruz
microdados_estabelecimentos,bairros_rj,520,"1996(1)1998, 2001(1)",Engenho Novo
microdados_estabelecimentos,bairros_rj,550,"1996(1)1998, 2001(1)",Estacio
microdados_estabelecimentos,bairros_rj,760,"1996(1)1998, 2001(1)",Iraja
microdados_estabelecimentos,bairros_rj,1090,"1996(1)1998, 2001(1)",Olaria
microdados_estabelecimentos,bairros_rj,1210,"1996(1)1998, 2001(1)",Penha
microdados_estabelecimentos,bairros_rj,340,"1996(1)1998, 2001(1)",Catete
microdados_estabelecimentos,bairros_rj,1280,"1996(1)1998, 2001(1)",Quintino Bocaiuva
microdados_estabelecimentos,bairros_rj,1290,"1996(1)1998, 2001(1)",Ricardo de Albuquerque
microdados_estabelecimentos,bairros_rj,1370,"1996(1)1998, 2001(1)",Ribeira
microdados_estabelecimentos,bairros_rj,1750,"1996(1)1998, 2001(1)",Zumbi
microdados_estabelecimentos,bairros_rj,730,"1996(1)1998, 2001(1)",Inhauma
microdados_estabelecimentos,bairros_rj,1270,"1996(1)1998, 2001(1)",Parque Anchieta
microdados_estabelecimentos,bairros_rj,1720,"1996(1)1998, 2001(1)",Vila Militar
microdados_estabelecimentos,bairros_rj,1730,"1996(1)1998, 2001(1)",Vila da Penha
microdados_estabelecimentos,bairros_rj,1310,"1996(1)1998, 2001(1)",Rocha Miranda
microdados_estabelecimentos,bairros_rj,450,"1996(1)1998, 2001(1)",Curicica
microdados_estabelecimentos,bairros_rj,9999,"1996(1)1998, 2001(1)",Outros Municipios do Rio de Janeiro
microdados_estabelecimentos,bairros_rj,200,"1996(1)1998, 2001(1)",Costa Barros
microdados_estabelecimentos,bairros_rj,480,"1996(1)1998, 2001(1)",Deodoro
microdados_estabelecimentos,bairros_rj,1340,"1996(1)1998, 2001(1)",Recreio dos Bandeirantes
microdados_estabelecimentos,bairros_rj,0,"1996(1)1998, 2001(1)",Fora do Estado do Rio de Janeiro
microdados_estabelecimentos,bairros_rj,130,"1996(1)1998, 2001(1)",Bento Ribeiro
microdados_estabelecimentos,bairros_rj,710,"1996(1)1998, 2001(1)",Higienopolis
microdados_estabelecimentos,bairros_rj,1020,"1996(1)1998, 2001(1)",Maracana
microdados_estabelecimentos,bairros_rj,1050,"1996(1)1998, 2001(1)",Monero
microdados_estabelecimentos,bairros_rj,1660,"1996(1)1998, 2001(1)",Vaz Lobo
microdados_estabelecimentos,bairros_rj,1560,"1996(1)1998, 2001(1)",Taquara
microdados_estabelecimentos,bairros_rj,630,"1996(1)1998, 2001(1)",Gavea
microdados_estabelecimentos,bairros_rj,930,"1996(1)1998, 2001(1)",Leme
microdados_estabelecimentos,bairros_rj,1180,"1996(1)1998, 2001(1)",Praca Seca
microdados_estabelecimentos,bairros_rj,1520,"1996(1)1998, 2001(1)",Sepetiba
microdados_estabelecimentos,bairros_rj,40,"1996(1)1998, 2001(1)",Acari
microdados_estabelecimentos,bairros_rj,170,"1996(1)1998, 2001(1)",Benfica
microdados_estabelecimentos,bairros_rj,510,"1996(1)1998, 2001(1)",Engenheiro Leal
